Date,US GDP,GDP - Personal Consumption,GDP - Goods Consumption,GDP - Durable Goods Consumption,GDP - Non durable Goods,GDP - Service,GDP - Investment
1989-12-31,9938.8,6304.2,1820.0,375.1,1578.8,4152.0,1291.8
1990-03-31,10047.4,6357.2,1844.4,390.9,1576.7,4173.4,1304.6
1990-06-30,10083.9,6376.6,1824.6,378.0,1578.4,4224.1,1305.0
1990-09-30,10090.6,6401.8,1820.4,374.2,1581.0,4257.9,1279.7
1990-12-31,9998.7,6353.1,1791.6,363.9,1565.1,4247.8,1208.1
1991-03-31,9951.9,6329.2,1776.3,353.9,1565.9,4244.5,1167.9
1991-06-30,10029.5,6381.7,1786.2,355.6,1575.1,4286.8,1167.9
1991-09-30,10080.2,6413.5,1797.0,361.1,1577.7,4305.3,1191.0
1991-12-31,10115.3,6410.3,1777.1,355.2,1564.2,4331.0,1233.3
1992-03-31,10236.4,6530.3,1817.3,369.2,1587.4,4401.9,1210.5
1992-06-30,10347.4,6574.7,1826.6,371.7,1594.1,4436.2,1278.9
1992-09-30,10449.7,6645.1,1846.5,379.6,1603.6,4483.1,1289.1
1992-12-31,10558.6,6724.3,1871.0,387.2,1619.7,4533.0,1328.4
1993-03-31,10576.3,6750.1,1878.2,391.0,1621.3,4550.3,1359.8
1993-06-30,10637.8,6811.5,1908.3,403.6,1634.2,4573.3,1367.6
1993-09-30,10688.6,6887.3,1928.1,408.1,1650.4,4626.3,1358.3
1993-12-31,10834.0,6947.8,1952.6,418.0,1661.9,4656.2,1429.7
1994-03-31,10939.1,7027.3,1985.7,427.9,1684.1,4694.6,1484.1
1994-06-30,11087.4,7081.9,2003.4,432.5,1697.4,4728.0,1557.1
1994-09-30,11152.2,7135.9,2021.9,437.1,1712.1,4759.5,1531.7
1994-12-31,11279.9,7213.1,2060.6,452.4,1730.2,4787.8,1594.7
1995-03-31,11320.0,7231.0,2050.4,443.1,1736.4,4820.8,1611.4
1995-06-30,11353.7,7294.4,2064.2,447.6,1745.0,4868.8,1578.0
1995-09-30,11450.3,7360.5,2089.2,460.2,1751.2,4904.4,1568.6
1995-12-31,11528.1,7411.9,2108.9,468.2,1760.2,4931.6,1607.5
1996-03-31,11614.4,7480.2,2125.8,473.3,1771.6,4980.5,1633.3
