Date,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Industrial production_growth,US Retail Sales_growth,CFNAI Index_chg,Manufacturing ISM_chg,Manufacturing ISM - Price Paid_chg,Service ISM_chg,Service ISM - Price Paid_chg
1997-07-31,80.6624,0.65,57.7,57.7,62.0,53.3,245219.0,0.8505942659710574,0.1987954552123894,0.27,2.8000000000000043,2.8000000000000043,5.299999999999997,2.3999999999999986
1997-08-31,81.4694,0.29,56.3,56.3,56.2,53.1,245587.0,0.9954946093585422,0.14995744508455697,-0.36000000000000004,-1.4000000000000057,-1.4000000000000057,-5.799999999999997,-0.19999999999999574
1997-09-30,82.2156,0.63,53.9,53.9,56.6,53.1,245438.0,0.9117575456574147,-0.060689376130870276,0.34,-2.3999999999999986,-2.3999999999999986,0.3999999999999986,0.0
1997-10-31,82.9446,0.44,56.4,56.4,58.5,54.3,247150.0,0.8827849981995333,0.6951070238307113,-0.19,2.5,2.5,1.8999999999999986,1.1999999999999957
1997-11-30,83.5978,0.6,55.7,55.7,55.5,54.9,247770.0,0.7844288895028653,0.250545673776713,0.15999999999999998,-0.6999999999999957,-0.6999999999999957,-3.0,0.6000000000000014
1997-12-31,83.9538,0.05,54.5,54.5,57.0,52.7,248809.0,0.4249443582916469,0.4184637353479468,-0.5499999999999999,-1.2000000000000028,-1.2000000000000028,1.5,-2.1999999999999957
1998-01-31,84.3218,0.31,53.8,53.8,56.2,51.6,249499.0,0.4373784275947398,0.27693733232944356,0.26,-0.7000000000000028,-0.7000000000000028,-0.7999999999999972,-1.1000000000000014
1998-02-28,84.4583,0.33,52.9,52.9,54.7,47.9,252034.0,0.1617489618267879,1.010909187786456,0.020000000000000018,-0.8999999999999986,-0.8999999999999986,-1.5,-3.700000000000003
1998-03-31,84.488,-0.01,52.9,52.9,54.9,46.8,255673.0,0.03515910121257895,1.4335285185287119,-0.34,0.0,0.0,0.19999999999999574,-1.1000000000000014
1998-04-30,84.7779,0.24,52.2,52.2,56.2,47.2,256735.0,0.34253831806135926,0.4145140281272704,0.25,-0.6999999999999957,-0.6999999999999957,1.3000000000000043,0.4000000000000057
1998-05-31,85.3367,0.28,50.9,50.9,55.1,45.5,258998.0,0.6569712533411788,0.8775915150067494,0.040000000000000036,-1.3000000000000043,-1.3000000000000043,-1.1000000000000014,-1.7000000000000028
1998-06-30,84.8248,-0.44,48.9,48.9,55.8,47.0,256455.0,-0.6016655286145735,-0.9867129038818593,-0.72,-2.0,-2.0,0.6999999999999957,1.5
1998-07-31,84.4986,-0.47,49.2,49.2,53.5,47.9,254924.0,-0.38529866935137325,-0.5987749102956144,-0.02999999999999997,0.30000000000000426,0.30000000000000426,-2.299999999999997,0.8999999999999986
1998-08-31,86.248,1.06,49.3,49.3,55.0,46.2,258115.0,2.0491901058277615,1.2439760524525345,1.53,0.09999999999999432,0.09999999999999432,1.5,-1.6999999999999957
1998-09-30,86.2021,-0.01,48.7,48.7,53.8,49.3,262388.0,-0.05323279149609439,1.6419102272138966,-1.07,-0.5999999999999943,-0.5999999999999943,-1.2000000000000028,3.0999999999999943
1998-10-31,86.7914,0.28,48.7,48.7,52.6,47.3,264495.0,0.6812999094851667,0.7998023211105985,0.29000000000000004,0.0,0.0,-1.1999999999999957,-2.0
1998-11-30,86.7256,0.05,48.2,48.2,52.9,48.5,267097.0,-0.07584271645323297,0.9789540776433214,-0.23000000000000004,-0.5,-0.5,0.29999999999999716,1.2000000000000028
1998-12-31,87.1185,0.25,46.8,46.8,55.6,47.0,267702.0,0.45201495934505925,0.22625332436514078,0.2,-1.4000000000000057,-1.4000000000000057,2.700000000000003,-1.5
1999-01-31,87.4949,0.11,50.6,50.6,54.4,45.5,271114.0,0.43112451049789463,1.2664975083879948,-0.14,3.8000000000000043,3.8000000000000043,-1.2000000000000028,-1.5
1999-02-28,88.027,0.53,51.7,51.7,55.3,48.9,272371.0,0.6063079650346991,0.46257108893751747,0.42000000000000004,1.1000000000000014,1.1000000000000014,0.8999999999999986,3.3999999999999986
