target,model,p,q,n_obs,aic,bic,rmse,mae,ar1_pvalue,ma1_pvalue
Gold_ret,white_noise,0,0,2608,7137.785639814853,7149.518317660946,0.950026969382481,0.6729930560036494,,
Gold_ret,ma1,0,1,2608,7139.216117952096,7156.815134721236,0.9499232043296533,0.6722623021695041,,0.3128304909790792
Gold_ret,ar1,1,0,2608,7139.219212621629,7156.8182293907685,0.949923768066941,0.6722617070863943,0.3145448596048067,
Gold_ret,arma11,1,1,2608,7141.208071978536,7164.673427670722,0.9499217395331744,0.6722706158408189,0.9490306224252962,0.937976685408479
Gold_ret,arma21,2,1,2608,7143.197397745045,7172.529092360278,0.9499197999846541,0.6722981632348553,0.9989542516986831,0.9989570285364048
High yield index_chg,arma11,1,1,2608,-6900.848045509237,-6877.382689817051,0.06434416275969797,0.042631828717675915,3.829188529509499e-63,8.248644006603988e-11
High yield index_chg,ar1,1,0,2608,-6887.7596444861365,-6870.160627716997,0.06453063522725844,0.04277468730823688,1.127315977512171e-153,
High yield index_chg,arma21,2,1,2608,-6898.871655398745,-6869.5399607835125,0.06434387327870691,0.04263060171275782,0.0005859371641572588,0.10463351686278971
High yield index_chg,ma1,0,1,2608,-6840.127603676584,-6822.528586907444,0.06512306707180382,0.04312164298601947,,5.631818431169918e-102
High yield index_chg,white_noise,0,0,2608,-6613.783885435441,-6602.051207589348,0.0680382352267273,0.04504788686973526,,
S&P500_ret,white_noise,0,0,2608,6943.494922658437,6955.22760050453,0.9152903943693924,0.6169881350976821,,
S&P500_ret,ar1,1,0,2608,6941.560145906709,6959.159162675849,0.9145999261858175,0.6164937174158636,0.002318776820890227,
S&P500_ret,ma1,0,1,2608,6941.629554006352,6959.228570775492,0.9146121061154401,0.6164965754850595,,0.003028827363762413
S&P500_ret,arma11,1,1,2608,6937.392551645252,6960.857907337438,0.9135189447842377,0.6169079802288461,5.90274505046142e-29,9.678367042956585e-23
S&P500_ret,arma21,2,1,2608,6939.390547442538,6968.722242057771,0.9135186050496928,0.6169203844338196,4.870212161000227e-16,3.5270339741314595e-15
US 10-year Rate_chg,ar1,1,0,2608,-8306.635679796254,-8289.036663027115,0.049162720030032435,0.03702160542330494,3.6979798166082277e-06,
US 10-year Rate_chg,ma1,0,1,2608,-8306.4746092296,-8288.875592460461,0.04916423844624898,0.03701936567946115,,4.923364598554385e-06
US 10-year Rate_chg,white_noise,0,0,2608,-8295.446513379371,-8283.713835533277,0.04928723783148814,0.037114452130941916,,
US 10-year Rate_chg,arma11,1,1,2608,-8304.689142903408,-8281.223787211222,0.04916221558116241,0.03702437594291378,0.5455767803342808,0.7818913729281267
US 10-year Rate_chg,arma21,2,1,2608,-8302.673068707536,-8273.341374092302,0.04916236736112844,0.03702395721038007,0.9933917941880476,0.9933748619285478
