target,model,n_obs,n_regressors,r_squared,adj_r_squared,aic,bic,rmse,mae,regressors
Gold_ret,baseline_oil_soft_bigshock,2607,3,0.001410314604852747,0.00025942368814679817,7136.37031330639,7159.834134962124,0.9495387840709729,0.6728934140488183,oil_pos_lag1 | oil_large_pos_lag1 | oil_pos_x_large_lag1
Gold_ret,baseline_oil_smoothed,2603,2,0.00028579348721458064,-0.00048321744087220786,7121.277298474775,7138.870558189759,0.9491456736431861,0.6725773100595873,oil_pos_ma3_lag1 | oil_pos_ma5_lag1
Gold_ret,baseline_oil_lags,2606,2,0.00025144462378623444,-0.0005167063984006237,7130.558246407018,7148.154961680072,0.9493424568678104,0.6727440044098123,oil_pos_lag1 | oil_pos_lag2
High yield index_chg,baseline_oil_lags,2606,2,0.02441747355263446,0.023667890359052146,-6669.871354578012,-6652.274639304957,0.06721867932572363,0.045063441874237345,oil_pos_lag1 | oil_pos_lag2
High yield index_chg,baseline_oil_soft_bigshock,2607,3,0.021204915696876547,0.020076838381121842,-6662.122852597589,-6638.659030941855,0.06732589994159459,0.04518082749635681,oil_pos_lag1 | oil_large_pos_lag1 | oil_pos_x_large_lag1
High yield index_chg,baseline_oil_smoothed,2603,2,0.020634803290338066,0.019881445446715218,-6658.81096087526,-6641.217701160276,0.0672622732685534,0.044973407202906754,oil_pos_ma3_lag1 | oil_pos_ma5_lag1
S&P500_ret,baseline_oil_lags,2606,2,0.0016566922016159058,0.000889620893280596,6934.981590618819,6952.578305891873,0.9143791345427233,0.6162255090612945,oil_pos_lag1 | oil_pos_lag2
S&P500_ret,baseline_oil_soft_bigshock,2607,3,0.0016519508012989848,0.0005013383742547006,6941.521698563133,6964.985520218867,0.914709109012765,0.6170684737359519,oil_pos_lag1 | oil_large_pos_lag1 | oil_pos_x_large_lag1
S&P500_ret,baseline_oil_smoothed,2603,2,0.00024373959609447216,-0.0005253036811394551,6933.441611554044,6951.034871269028,0.9155103534193958,0.6173285622504705,oil_pos_ma3_lag1 | oil_pos_ma5_lag1
US 10-year Rate_chg,baseline_oil_soft_bigshock,2607,3,0.002953109472103921,0.0018039966516721906,-8294.97509485365,-8271.511273197915,0.04922384205880275,0.03712285337165378,oil_pos_lag1 | oil_large_pos_lag1 | oil_pos_x_large_lag1
US 10-year Rate_chg,baseline_oil_smoothed,2603,2,0.0009624454718306641,0.00019395504527042196,-8277.943390722925,-8260.350131007941,0.04928337207435414,0.03711644784848079,oil_pos_ma3_lag1 | oil_pos_ma5_lag1
US 10-year Rate_chg,baseline_oil_lags,2606,2,0.00048165439506853147,-0.0002863197467717349,-8286.48360790635,-8268.886892633296,0.049292896475082164,0.03712128415563398,oil_pos_lag1 | oil_pos_lag2
