variable,coef,std_err,p_value
const,0.47503737329346324,0.05378808505263702,1.0314564007852476e-18
brent_pos_ret,0.0014627459344413154,0.007338266012660494,0.8420036146336245
oil_large_pos_shock,0.1398722602633659,0.043740684196413165,0.001384989467187958
spx_vol,0.008152721012314162,0.009503829139762526,0.3909833628333311
us10y_vol,1.882557982786772,0.16415939339140234,1.913183891297922e-30
msci_vol,0.17234162551401974,0.01122708665770561,3.5135519583869966e-53
ar.L1,0.9648375247708186,0.007760830100974499,0.0
ar.L2,0.024026927398219194,0.0067552377700001096,0.0003754213657896313
ma.L1,-1.0673995091622914,0.004540000815567907,0.0
sigma2,0.38805746516857476,0.004187502068593986,0.0
