window,target,model,variable,coef,std_err,t_stat,p_value,sig
FOCUS,US GDP_growth,M1_baseline,const,0.594767912871405,0.1679559435880917,3.5412138455192768,0.0003982906278908236,***
FOCUS,US GDP_growth,M1_baseline,oil_pos,-0.002971526959792529,0.00697204789036324,-0.4262057585547815,0.6699579217498483,
FOCUS,US GDP_growth,M1_baseline,US GDP_growth_lag1,0.31720122680865387,0.153884994846752,2.0612875681904015,0.03927561352613379,**
FOCUS,US GDP_growth,M2_large_shock,const,0.6151172626924727,0.17237845245249012,3.5684115615436767,0.00035915204056371895,***
FOCUS,US GDP_growth,M2_large_shock,oil_pos,-0.007305010424408492,0.006905776504010475,-1.0578115900747969,0.29014134777434797,
FOCUS,US GDP_growth,M2_large_shock,oil_large_shock,0.2463937839327746,0.3593402476403783,0.685683792869652,0.4929125290850067,
FOCUS,US GDP_growth,M2_large_shock,US GDP_growth_lag1,0.3093349282686152,0.15556965506505627,1.9884014536077568,0.04676730816817858,**
FOCUS,US GDP_growth,M3_oil_lags,const,0.5807716805593389,0.17942449539844357,3.236858374714297,0.0012085337359150328,***
FOCUS,US GDP_growth,M3_oil_lags,oil_pos,-0.004150732319218859,0.007285352100931905,-0.5697366800827537,0.568856307866408,
FOCUS,US GDP_growth,M3_oil_lags,oil_pos_lag1,-0.0006629589554202914,0.007747811084457366,-0.08556725869971611,0.9318104267414874,
FOCUS,US GDP_growth,M3_oil_lags,oil_pos_lag2,0.003420726274426012,0.008231359161640407,0.41557247196395014,0.6777228737296983,
FOCUS,US GDP_growth,M3_oil_lags,US GDP_growth_lag1,0.32184333956823513,0.15741305278321324,2.0445784760395487,0.04089643330271234,**
FOCUS,US GDP_growth,M4_interaction,const,0.5875283879658616,0.1733467826731797,3.3893238680614073,0.0007006520407402014,***
FOCUS,US GDP_growth,M4_interaction,oil_pos,-0.006030799499044233,0.007028847078840807,-0.8580069293581543,0.3908886371552638,
FOCUS,US GDP_growth,M4_interaction,oil_large_shock,2.8710138335267246,1.864180896046432,1.5400940110563257,0.12353743941041131,
FOCUS,US GDP_growth,M4_interaction,oil_pos_x_large,-0.08357094064425258,0.053256837970627406,-1.5692058302512106,0.11659998615453532,
FOCUS,US GDP_growth,M4_interaction,US GDP_growth_lag1,0.3353354904661399,0.15587541181890116,2.1513045999566542,0.03145216543494441,**
FOCUS,US GDP_growth,M5_full,const,0.6072096981149457,0.18764657473815424,3.2359220996293603,0.0012125046941605367,***
FOCUS,US GDP_growth,M5_full,oil_pos,-0.006284870885095601,0.007569186434557512,-0.8303231713783265,0.40635609063167066,
