window,target,model,n_obs,n_regressors,r_squared,adj_r_squared,aic,bic,rmse,mae,regressors
FULL,GDP - Durable Goods Consumption_growth,M5_full,141,6,0.07674723968770014,0.03540756385282118,682.0459897281837,702.6873089608309,2.5857584706805263,1.6510967492115252,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Durable Goods Consumption_growth_lag1
FULL,GDP - Durable Goods Consumption_growth,M3_oil_lags,141,4,0.046429348376962,0.01838315274099034,682.6017668342463,697.3455662861371,2.627871269315112,1.6767916680284713,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Durable Goods Consumption_growth_lag1
FULL,GDP - Durable Goods Consumption_growth,M2_large_shock,141,3,0.03258745381360595,0.011403237473757821,682.6337897222922,694.4288292838049,2.646875453165116,1.6867181772490656,oil_pos | oil_large_shock | GDP - Durable Goods Consumption_growth_lag1
FULL,GDP - Durable Goods Consumption_growth,M4_interaction,141,4,0.03342852217038628,0.004999949293044814,684.5111510196871,699.2549504715779,2.645724606366394,1.683804665748958,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Durable Goods Consumption_growth_lag1
FULL,GDP - Durable Goods Consumption_growth,M1_baseline,141,2,0.010500514316128973,-0.0038400579401591806,683.8167541767366,692.6630338478711,2.6769202627863082,1.6907108961174506,oil_pos | GDP - Durable Goods Consumption_growth_lag1
FULL,GDP - Goods Consumption_growth,M5_full,141,6,0.09135561076340071,0.05067004109609041,495.16244350271376,515.8037627353609,1.3328390169848112,0.8064695877601349,oil_pos | oil_large_shock | oil_pos_lag1 | oil_pos_lag2 | oil_pos_x_large | GDP - Goods Consumption_growth_lag1
FULL,GDP - Goods Consumption_growth,M2_large_shock,141,3,0.061804949625162475,0.041260532463669564,493.67501646266567,505.47005602417835,1.3543387098925923,0.8304244813322479,oil_pos | oil_large_shock | GDP - Goods Consumption_growth_lag1
FULL,GDP - Goods Consumption_growth,M3_oil_lags,141,4,0.06580232047281986,0.038325918133785275,495.07297380695184,509.81677325884266,1.3514504122858635,0.8227974993365496,oil_pos | oil_pos_lag1 | oil_pos_lag2 | GDP - Goods Consumption_growth_lag1
FULL,GDP - Goods Consumption_growth,M4_interaction,141,4,0.06301317619693936,0.03545474020273176,495.49331678591244,510.23711623780326,1.3534663565446123,0.8279650941598438,oil_pos | oil_large_shock | oil_pos_x_large | GDP - Goods Consumption_growth_lag1
FULL,GDP - Goods Consumption_growth,M1_baseline,141,2,0.042664793733912076,0.028790370454693348,494.52261406621454,503.368893737349,1.368083919613547,0.8327292102186562,oil_pos | GDP - Goods Consumption_growth_lag1
