dependent_variable,model_name,spec_name,p,q,n_obs,pseudo_r_squared,aic,bic,n_regressors,regressors
spx_vol,"spx_cross_asset_arma(2,2)",spx_cross_asset,2,2,9441,0.7268568930109076,11348.559664587621,11427.237157682772,5,brent_pos_ret | oil_large_pos_shock | msci_vol | hy_vol | us10y_vol
spx_vol,"spx_cross_asset_arma(2,1)",spx_cross_asset,2,1,9441,0.7267930727419598,11343.733167440687,11415.259220653936,5,brent_pos_ret | oil_large_pos_shock | msci_vol | hy_vol | us10y_vol
spx_vol,"spx_cross_asset_arma(1,2)",spx_cross_asset,1,2,9441,0.7267262017470577,11343.662767053484,11415.187760776347,5,brent_pos_ret | oil_large_pos_shock | msci_vol | hy_vol | us10y_vol
spx_vol,"spx_cross_asset_arma(1,1)",spx_cross_asset,1,1,9441,0.7262593552620265,11358.898567360651,11423.272015252576,5,brent_pos_ret | oil_large_pos_shock | msci_vol | hy_vol | us10y_vol
spx_vol,"spx_cross_asset_arma(2,0)",spx_cross_asset,2,0,9441,0.7171278908361056,11678.988379593204,11743.361827485129,5,brent_pos_ret | oil_large_pos_shock | msci_vol | hy_vol | us10y_vol
spx_vol,"spx_cross_asset_arma(1,0)",spx_cross_asset,1,0,9441,0.715968644955141,11715.837897562134,11773.05958763525,5,brent_pos_ret | oil_large_pos_shock | msci_vol | hy_vol | us10y_vol
spx_vol,"spx_smoothed_arma(2,2)",spx_smoothed,2,2,9439,0.2364653834058572,21054.14453817912,21111.362837703342,2,brent_pos_ma3 | oil_large_pos_shock
spx_vol,"spx_smoothed_arma(2,1)",spx_smoothed,2,1,9439,0.2363802203649561,21055.27517977982,21105.341933663967,2,brent_pos_ma3 | oil_large_pos_shock
spx_vol,"spx_smoothed_arma(1,2)",spx_smoothed,1,2,9439,0.2361966668584793,21055.423551948268,21105.489564031963,2,brent_pos_ma3 | oil_large_pos_shock
spx_vol,"spx_interaction_arma(2,2)",spx_interaction,2,2,9441,0.23614162814090778,21059.63015620851,21124.002650559087,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
spx_vol,"spx_baseline_arma(2,2)",spx_baseline,2,2,9441,0.23607030162809295,21058.47994623109,21115.699941209383,2,brent_pos_ret | oil_large_pos_shock
spx_vol,"spx_interaction_arma(2,1)",spx_interaction,2,1,9441,0.2358513000802397,21061.576395070068,21118.79723764067,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
spx_vol,"spx_baseline_arma(2,1)",spx_baseline,2,1,9441,0.23577496433613543,21060.460601172013,21110.528838421287,2,brent_pos_ret | oil_large_pos_shock
spx_vol,"spx_interaction_arma(1,2)",spx_interaction,1,2,9441,0.23571374271650236,21060.71498935906,21117.934984337353,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
spx_vol,"spx_baseline_arma(1,2)",spx_baseline,1,2,9441,0.2356386850171177,21059.57579777671,21109.643293382713,2,brent_pos_ret | oil_large_pos_shock
spx_vol,"spx_smoothed_arma(1,1)",spx_smoothed,1,1,9439,0.23264928917991978,21099.237214904388,21142.151575376516,2,brent_pos_ma3 | oil_large_pos_shock
spx_vol,"spx_interaction_arma(1,1)",spx_interaction,1,1,9441,0.2320413426847696,21105.81642943099,21155.884666680264,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
spx_vol,"spx_baseline_arma(1,1)",spx_baseline,1,1,9441,0.23199617517118587,21104.32577467885,21147.2414066068,2,brent_pos_ret | oil_large_pos_shock
spx_vol,"spx_smoothed_arma(2,0)",spx_smoothed,2,0,9439,0.14619471664819395,22106.317216385476,22149.231576857605,2,brent_pos_ma3 | oil_large_pos_shock
spx_vol,"spx_interaction_arma(2,0)",spx_interaction,2,0,9441,0.14569532290045661,22115.24601605902,22165.314253308294,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
spx_vol,"spx_baseline_arma(2,0)",spx_baseline,2,0,9441,0.14568528418949744,22113.367237712017,22156.282869639967,2,brent_pos_ret | oil_large_pos_shock
spx_vol,"spx_smoothed_arma(1,0)",spx_smoothed,1,0,9439,0.08120466828243544,22798.11860718144,22833.881104042874,2,brent_pos_ma3 | oil_large_pos_shock
spx_vol,"spx_interaction_arma(1,0)",spx_interaction,1,0,9441,0.07927473361690585,22822.90436007647,22865.820627631307,3,brent_pos_ret | oil_large_pos_shock | brent_pos_x_large
spx_vol,"spx_baseline_arma(1,0)",spx_baseline,1,0,9441,0.07882695720581956,22825.513028540394,22861.27658483609,2,brent_pos_ret | oil_large_pos_shock
