variable,coef,std_err,p_value
const,0.013395366273557181,0.0015690254825772307,1.372998196786715e-17
brent_pos_ret,0.0006596840957164135,0.00025113261359119884,0.008618295491812278
oil_large_pos_shock,-0.0005353728170557525,0.0016811060535222057,0.7501325203861771
us2y_vol,0.6291219625216332,0.003685576225899687,0.0
spx_vol,0.007260150451764356,0.00022550062074658036,2.0272162851049663e-227
hy_vol,0.012407050225292121,0.0023864751605019207,2.0046929407531957e-07
ar.L1,0.3589985318128845,0.31422204594220166,0.2532464518592549
ar.L2,0.6218411016274568,0.31056847526319714,0.04525599120570523
ma.L1,-0.43889230819646796,0.318925292481245,0.16877202757196286
ma.L2,-0.6517649633102448,0.3360314768482664,0.052428932274870554
sigma2,0.0006529595224960928,8.011810085878483e-06,0.0
